# 1: suno ni suli .
1	suno	NOUN	0	root
2	li	PART	1	part
3	suli	ADJ	2	apred
4	.	PUNCT	1	punct

# 2: mi suli .
1	mi	PRON	0	root
2	suli	ADJ	1	apred
3	.	PUNCT	1	punct

# 3: jan li moku .
1	jan	NOUN	0	root
2	li	PART	1	part
3	moku	VERB	2	vpred
4	.	PUNCT	1	punct

# 4: mi lukin e ni .
1	mi	PRON	0	root
2	lukin	VERB	1	vpred
3	e	PART	2	part
4	ni	DET	3	dobj
5	.	PUNCT	1	punct

# 5: mi wile unpa e ona .
1	mi	PRON	0	root
2	wile	AUX	1	vpred
3	unpa	VERB	2	comp
4	e	PART	3	part
5	ona	PRON	4	dobj
6	.	PUNCT	1	punct

# 6: jan li wile jo e ma .
1	jan	NOUN	0	root
2	li	PART	1	aux
3	wile	AUX	2	vpred
4	jo	VERB	3	comp
5	e	PART	4	part
6	ma	NOUN	5	dobj
7	.	PUNCT	1	punct

# 7: mi jan li suli .
1	mi	PRON	0	root
2	jan	NOUN	1	npred
3	li	PART	2	part
4	suli	ADJ	3	apred
5	.	PUNCT	1	punct

# 8: mi lukin sewi e tomo suli .
1	mi	PRON	0	root
2	lukin	VERB	1	vpred
3	sewi	ADV	2	advmod
4	e	PART	2	part
5	tomo	NOUN	4	dobj
6	suli	ADJ	5	amod
7	.	PUNCT	1	punct

# 9: seli suno li seli e tomo mi .
1	seli	NOUN	0	root
2	suno	ADJ	1	amod
3	li	PART	1	part
4	seli	VERB	3	vpred
5	e	PART	4	part
6	tomo	NOUN	5	dobj
7	mi	PRON	6	nmod
8	.	PUNCT	1	punct

# 10: jan lili li wile e telo kili .
1	jan	NOUN	0	root
2	lili	ADJ	1	amod
3	li	PART	1	part
4	wile	VERB	3	vpred
5	e	PART	4	part
6	telo	NOUN	5	dobj
7	kili	ADJ	6	amod
8	.	PUNCT	1	punct

# 11: ona mute li nasa e jan suli .
1	ona	PRON	0	root
2	mute	ADJ	1	amod
3	li	PART	1	part
4	nasa	VERB	3	vpred
5	e	PART	4	part
6	jan	NOUN	5	dobj
7	suli	ADJ	6	amod
8	.	PUNCT	1	punct

# 12: sina wile kama tawa tomo toki .
1	sina	PRON	0	root
2	wile	AUX	1	vpred
3	kama	VERB	2	comp
4	tawa	ADP	3	prep
5	tomo	NOUN	4	pobj
6	toki	ADJ	5	amod
7	.	PUNCT	1	punct

# 13: jan li toki kepeken toki pona lon tomo toki .
1	jan	NOUN	0	root
2	li	PART	1	part
3	toki	VERB	2	vpred
4	kepeken	ADP	3	prep
5	toki	NOUN	4	pobj
6	pona	ADJ	5	amod
7	lon	ADP	3	prep
8	tomo	NOUN	7	pobj
9	toki	ADJ	8	amod
10	.	PUNCT	1	punct

# 14: mi tawa tomo toki .
1	mi	PRON	0	root
2	tawa	ADP	1	prep
3	tomo	NOUN	2	pobj
4	toki	ADJ	3	amod
5	.	PUNCT	1	punct

# 15: ona li pona tawa mi .
1	ona	PRON	0	root
2	li	PART	1	part
3	pona	ADJ	2	apred
4	tawa	ADP	3	prep
5	mi	PRON	4	pobj
6	.	PUNCT	1	punct

# 16: sina kama jo e jan pona lon ni .
1	sina	PRON	0	nsubj
2	kama	AUX	1	vpred
3	jo	VERB	2	comp
4	e	PART	3	part
5	jan	NOUN	4	dobj
6	pona	ADJ	5	amod
7	lon	ADP	3	prep
8	ni	DET	7	pobj
9	.	PUNCT	1	punct

# 17: poka mi li pakala .
1	poka	NOUN	0	root
2	mi	PRON	1	nmod
3	li	PART	1	part
4	pakala	ADJ	3	apred
5	.	PUNCT	1	punct

# 18: mi kepeken e poki e ilo moku .
1	mi	PRON	0	root
2	kepeken	VERB	1	vpred
3	e	PART	2	part
4	poki	NOUN	3	pobj
5	e	PART	2	part
6	ilo	NOUN	5	pobj
7	moku	ADJ	6	amod
8	.	PUNCT	1	punct

# 19: jan li lon insa tomo .
1	jan	NOUN	0	root
2	li	PART	1	part
3	lon	ADP	2	prep
4	insa	NOUN	3	pobj
5	tomo	NOUN	4	nmod
6	.	PUNCT	1	punct

# 20: sina wile ala wile pali ?
1	sina	PRON	0	root
2	wile	AUX	1	vpred
3	ala	PART	2	part
4	wile	AUX	3	conj
5	pali	VERB	2	comp
6	?	PUNCT	1	punct

# 21: wile ala .
1	wile	AUX	0	root
2	ala	ADV	1	advmod
3	.	PUNCT	1	punct

# 22: jan utala li seli ala seli e tomo ?
1	jan	NOUN	0	root
2	utala	ADJ	1	amod
3	li	PART	1	part
4	seli	VERB	3	vpred
5	ala	PART	4	part
6	seli	VERB	5	conj
7	e	PART	4	part
8	tomo	NOUN	7	pobj
9	?	PUNCT	1	punct

# 23: jan lili li ken ala moku e telo nasa ?
1	jan	NOUN	0	root
2	lili	ADJ	1	amod
3	li	PART	1	part
4	ken	AUX	3	vpred
5	ala	ADV	4	advmod
6	moku	VERB	4	comp
7	e	PART	6	part
8	telo	NOUN	7	pobj
9	nasa	ADJ	8	amod
10	.	PUNCT	1	punct

# 24: sina kepeken ala kepeken e ni ?
1	sina	PRON	0	root
2	kepeken	VERB	1	vpred
3	ala	PART	2	part
4	kepeken	VERB	3	conj
5	e	PART	2	part
6	ni	DET	5	pobj
7	?	PUNCT	1	punct

# 25: mu .
1	mu	INTJ	0	root
2	.	PUNCT	1	punct

# 26: mi wile kama sona e toki Mopu ?
1	mi	PRON	0	root
2	wile	AUX	1	vpred
3	kama	AUX	2	comp
4	sona	VERB	3	comp
5	e	PART	4	part
6	toki	NOUN	5	pobj
7	Mopu	PROPN	6	nmod
8	?	PUNCT	1	punct

# 27: jan Mopu o pana e moku tawa mi !
1	jan	NOUN	0	root
2	Mopu	PROPN	1	nmod
3	o	AUX	1	part
4	pana	VERB	3	vpred
5	e	PART	4	part
6	moku	NOUN	5	pobj
7	tawa	ADP	4	prep
8	mi	PRON	7	pobj
9	!	PUNCT	1	punct

# 28: o tawa musi poka mi !
1	o	AUX	0	root
2	tawa	VERB	1	vpred
3	musi	ADV	2	advmod
4	poka	ADP	2	prep
5	mi	PRON	4	pobj
6	!	PUNCT	1	punct

# 29: jan Mopu o lawa e mi mute tawa ma pona !
1	jan	NOUN	0	root
2	Mopu	PROPN	1	nmod
3	o	AUX	1	part
4	lawa	VERB	3	vpred
5	e	PART	4	part
6	mi	PRON	5	dobj
7	mute	ADJ	6	amod
8	tawa	ADP	4	prep
9	ma	NOUN	8	pobj
10	pona	ADJ	9	amod
11	!	PUNCT	1	punct

# 30: tawa pona !
1	tawa	NOUN	0	root
2	pona	ADJ	1	amod
3	!	PUNCT	1	punct

# 31: jan Mopu o , mi olin e sina .
1	jan	NOUN	6	vocative
2	Mopu	PROPN	1	appos
3	o	PART	1	aux
4	,	PUNCT	1	punct
5	mi	PRON	6	nsubj
6	olin	VERB	0	root
7	e	PART	8	aux
8	sina	PRON	6	obj
9	.	PUNCT	6	punct

# 32: ni li jan seme ?
1	ni	DET	3	nsubj
2	li	PART	3	aux
3	jan	NOUN	0	root
4	seme	PRON	3	nmod
5	?	PUNCT	3	punct

# 33: sina lon seme ?
1	sina	PRON	3	nsubj
2	lon	ADP	3	case
3	seme	PRON	0	root
4	?	PUNCT	3	punct

# 34: mi lon tan seme ?
1	mi	PRON	2	nsubj
2	lon	VERB	0	root
3	tan	ADP	4	case
